prompt,completion
How can I simulate friction between the floor slab and the subsoil without having to enter a contact volume?,"When entering a surface foundation, a non-linearity can be set for the spring stiffness in the direction of the local z-axis. For example, ""Failure if contact stress is negative"". In the nonlinearity detail settings (button to the right of the nonlinearity selection), the option ""Friction in plane xy"". A coefficient of friction can also be entered there. "
"I use the ""Values on faces"" option in the Results navigator when plotting my rebar. Is it possible to have additional information displayed for the displayed values?","Yes, this is possible. To do this, activate the ""Names"" option. "
have defined a nonlinear line support with dropout. Implausible results are shown to me when evaluating the results. What can I do?,"Similar to the surfaces, there are various smoothing options for displaying the results of the support reactions. With a non-linear bearing, you should always select the actual history to display the results. "
I can't properly graph a variable polygon load on a face. It is not really apparent what load is actually applied. Is there an optional display option for this?,"There is an option for this in the RFEM 5 results navigator.After calculating a load case or a COC, you can switch to the results navigator and select the ""Load distribution"" result type there. This allows the load applied to the respective element to be displayed. This can also be used very well for graphical documentation of the load and printed as a graphic in the log. "
Is it possible to transfer only a specific selection of elements to the RWIND Simulation wind tunnel?,"Yes, the ""Simulate and generate wind loads"" interface application controls which objects are to be transferred to the RWIND Simulation wind tunnel with the ""Export only active objects"" option under the ""Settings"" tab. If the option ""Only export active objects"" is not activated, all objects available in the model are placed in the wind tunnel. In the other case, the program only moves the objects in the currently displayed visibility of the model into the wind tunnel. The other hidden objects are then ignored."
Where can older program versions of the Dlubal programs be downloaded?,"Older program versions can be downloaded from the Dlubal website under the menu item ""Support and Training"". You can find the direct link below this FAQ."
Is it possible to apply the minimum moments according to DIN EN 1992-1-1 in RF-PUNCH Pro?,"Yes. This is possible in input dialog 1.5. If too few nodes were selected for the design, so that the program calculates the dimensions lx or .ly according to DIN EN 1992-1-1, 6.4.5 (NA6), cannot be determined automatically, you receive the message that the prerequisites for determining the minimum moments are not met are met.The program requires at least 4 nodes so that the spans in x and y direction can be determinedIn this case, the minimum moments can be defined manually. "
Can I also transfer loads and load cases via the .stp interface (regulated according to DSTV)?,"Yes, that is possible. Usually, only individual members of a large system are exported for this purpose in order to carry out detailed investigations on these objects. For this export, see another FAQ more hints (see link below). The export of a member with loads is shown in the attached video."
"Why do I get the message 28) in RF-CONCRETE Members, after which I have to carry out a ""standard case design"" with internal forces according to the first-order theory?","RF-CONCRETE Columns determines an equivalent moment M0e from the moment M02 at the column head and M01 at the column base according to EN 1992- 1-1, 5.8.8.2(2) and carries out the design with this equivalent moment M0e according to the model column method.Now it can be that e.g. B. purely from the cross-section verification with the moment M01 at the column head, a mathematically larger required reinforcement cross-section would result.To ensure this, the message 28) is output, after which the user with should carry out a standard design based on internal forces according to the first-order theory. To do this, you can simply open the RF-CONCRETE Members module and design the member designed in RF-CONCRETE Columns based purely on the internal forces according to the first-order theory."
"When importing a .stp (DSTV) file that I exported to RFEM/RSTAB, I get the error message shown in the picture. No cross sections are exported. Why is that?","In order to carry out an import into RFEM/RSTAB via the DSTV interface, the program needs nodes at which the cross-sections can be localized. The ""Only export selected objects"" option is often only members are selected in the model. In this case, the nodes are missing from the selection. The model cannot be created. All objects that are required to describe the model should therefore be selected using the ""Select"" → ""Objects that belong together"" option. Then the import will be carried out correctly."
Why does the material parameter in the program differ from the material parameter in the current standard?,"This is because in the program you have the option of selecting materials from both valid and old (""invalid"") series of standards.The materials are stored in the program with a material designation and a standard . When selecting the desired material, the material designation and the standard must be observed in order to make the correct choice."
I have SHAPE-THIN 9 installed. Now I get a warning message that the authorization failed. The program is only available as a demo.,"You have a license for the SHAPE-THIN 7 or SHAPE-THIN 8 program. Your service contract includes all updates within these program versions. SHAPE-THIN 9, on the other hand, is subject to a fee upgrade. Our sales department will be happy to make you an offer for the switch."
Can I also use the horizontal branch of the stress-strain curve when designing cross-sections in RF-CONCRETE Members?,"RF-CONCRETE Members or CONCRETE calculates a cross-section check with the stress-strain curve for reinforcing steel according to DIN EN 1992-1-1, 3.2.7(2)a - i.e. with an increasing upper branch up to ftk and a strain limit of εud = 0.025. In RF-CONCRETE Members or CONCRETE there is no option with which one could switch to a design with a horizontal branch according to 3.2.7(2)b.However, it may be possible to calculate with a user-defined material in which ftk = fyk is equated."
According to which set of rules or according to which standard is the composite beam designed with the VERBUND-TR 8.xx program?,"The VERBUND-TR program enables the verification of composite beams according to the preliminary standard ENV 1994-1-1:1992:10.For the time being, it is only the preliminary standard implemented. A design according to EN 1994-1-1 is currently not possible.See also the performance description on the product homepage for VERBUND-TR via the following link."
"I have a node that is subjected to a concentrated load, but I cannot select it for design in RF-PUNCH Pro. Why?","In RF-PUNCH Pro, nodes can be selected for the design, to which a concentrated load acts as a ""node load"". Important: Free concentrated loads cannot be applied here, since the position of the free concentrated loads is not defined via a node, but via their coordinates.The nodes that are subjected to a nodal load , can only be picked once a load has been selected for design."
How do I activate or start RF-/STEEL Cold-Formed Sections?,"RF-/STEEL Cold-Formed Sections is a module extension of RF-/STEEL EC3. In the detailed settings of RF-/STEEL EC3, only the check for cold-formed sections needs to be activated. "
"Is there a way to add an index (e.g. ""a"") to the page numbering in the printout report?","The details of the printhead, which is created during the installation from the customer data, can be changed in the printout report via the menu Settings → Report header or the assigned button in the toolbar of the printout report.If, for example, for ""Page"" the standard numbers are set and the control field is ticked, the individual pages are managed consecutively.The ""Details"" button allows detailed specifications for the numbering in a new dialog. Among other things, this dialog controls whether the page numbering is provided with a prefix. This can be an abbreviation that is defined by chapter and e.g. B. All model data in the numbering is marked with a prefix ""MO"".Unfortunately, it is not possible to insert suffixes."
"In RF-/STEEL Cold-Formed Sections, I want to design a section that is not contained in the RFEM/RSTAB cross-section library. What should I do?","General cold-formed profiles can be modeled with THIN-THIN. In the general information, first activate the ""c/t parts and effective cross-section values"" check box. Then, in the ""c /t-parts and effective cross-section"" of the calculation parameters dialog, select the option ""EN 1993-1-3 (cold-formed profile)"".The values specified in EN 1993-1-3 [1], 5.2 for the applicability of the standard can optionally be checked. To do this, the corresponding checkboxes must be activated. If the geometric conditions are not met, an error message is displayed before the calculation. The elements of the profile must be entered first. The nominal values of the straight widths are usually generated automatically from the geometry constraints, but can also be user-defined in table ""1.7 Nominal values of straight widths after 1993-1-3"" or the corresponding dialog. The buckling stiffeners can then be defined in the table ""1.8 buckling stiffeners"" or in the corresponding dialog. Furthermore, the buckling field must be specified in table ""1.9 buckling fields"" or in the dialog. To do this, the elements of the buckling field must be selected. The stiffeners in the buckling panel are recognized automatically. For the design of the cold-formed section in RF-/STEEL Cold-Formed Sections, it is sufficient that the buckling stiffeners and buckling panels of the profile are defined. The effective cross-section does not have to be additionally calculated in SHAPE-THIN. The calculation can then be started and the warning message confirmed with ""OK"". After saving the calculated profile, it can be saved in RFEM or RSTAB be read."
What is the difference in the material model nonlinear elastic and nonlinear plastic 2D/3D?,"In this earlier post, the isotropic nonlinear elastic material model was explained in detail. In contrast to this, in the material model Isotropically plastic, when the plastic material properties are reached, the total strain ε is divided into an elastic and plastic component. ε=εel+εpl In the attached example, both material models are combined on an identical cantilever with identical loads compared. The load was increased using the Incremental load increase function up to a deformation of 40cm. The Incremental load increase function is explained in the following entry ."
"When rotating the view, it appears as if the X and Y coordinates are swapped. Is there a display problem here?","The effect described is not a display error, just a matter of perspective and a good example of the optical illusion. It depends on whether you perceive the representation of the axis system as an inside or outside corner.Example Rubik's Cube in isometric viewThe yellow side of the cube is the upper surface. In the default isometric view, you look at the inside corner of the coordinate system from an angle above. If you simply turn the view upside down so that Z is pointing up, X is pointing to the right and Y is pointing to the left, you are looking at the underside of the cube, i.e. from above at the lower outer corner of the coordinate system. If you now rotate the view by about 45° around the horizontal axis, you may get the impression that you are looking at the inner corner of the coordinate system again. However, this is the outside corner."
How do I create a user-defined material in the RX-TIMBER program?,"user-defined material can be created in RX-TIMBER as a new material in the material database as in the programs RFEM/RSTAB. In contrast to RFEM/RSTAB, the material category fixed to ""Wood""."
"In RF-CONCRETE Members, where can I display the position of the neutral line or the height of the concrete compression zone for a cross-section?","After the calculation in the RF-CONCRETE Members (RFEM) or CONCRETE (RSTAB) add-on module, you can switch to the ""2.4 Required Reinforcement x-Local"" results window.There you can for a specific design and a specific x-location select a result line (upper table in mask 2.4). You can then evaluate the intermediate results in the lower table in mask 2.4. There you will find z. B. the ""pressure zone height x"". The position of the zero line for the selected verification point is shown in the infographic on the right-hand side of mask 2.4. You can also view the progression of the pressure zone height using the Also display the bar length graphically in the model or in the ""Result curves on the bar"". "
"In RF-CONCRETE Members, where can I activate the shear force reduction or moment rounding on the support?","You will find the setting in the 1.5 Bearing input dialog. There you can make the setting for the bearing width and bearing type and whether a moment redistribution or -rounding or lateral force reduction is to be carried out. Depending on the standard selected in dialog 1.1, various options are available here. The option applies to RF-CONCRETE Members (RFEM 5) and CONCRETE (RSTAB 8)."
Can a spherically curved glass pane be designed in RF-GLASS?,"Yes, this is possible.When modeling a spherically curved pane of glass, make sure that the surface consists of only four boundary lines. p>In RF-GLASS, the ""Enable layered mesh for solids"" option must be deactivated for double-curved or spherical glass panes. More information on curved surfaces in RF-GLASS can be found in another FAQ (see link below)."
Why is an opening not taken into account when determining the punching shear load from the shear forces in the critical perimeter?,"When determining the punching load from the shear forces in the critical perimeter, an uninterrupted perimeter is used.If an interrupted perimeter were used when determining the punching load, a load component (over the interrupted length) remain unconsidered. This would be the case, for example, if you only defined the opening in RF-PUNCH Pro, but not in the RFEM model. In the RFEM model, the shear force would develop over the uninterrupted cross-section. If the proportion were neglected, the punching load would be determined too low.For this reason, an uninterrupted perimeter is always used in RF-PUNCH Pro when determining the punching load from the shear forces within the critical perimeter.In the verification (on the resistance side), the opening is then taken into account again and the circumference of the perimeter is reduced accordingly."
How can I quickly model a chimney with reinforcement rings and stiffeners?,"In RFEM, the easiest way is to use the ""Flat surface"" → ""Ring"" function. This allows the reinforcement rings to be modeled very quickly and conveniently. Then you can extrude the inner line into a surface, and the chimney is already generated. Now the existing ring surface is copied upwards and corresponding stiffeners are modeled. The stiffeners can be distributed over the circumference of the chimney with the ""Rotate"" command. The lines of the reinforcement ring must then be integrated into the quadrangle surface of the chimney. Otherwise the elements are not connected."
Can I carry out a fire protection analysis for cross laminated timber panels with RF-LAMINATE?,"The fire protection analysis is not implemented in the RF-LAMINATE module by default. However, it is possible to calculate the charring rates yourself and to take them into account accordingly in the module. This is explained using a simple plate in the following example. System : Span width 5mSlab width 2mLF1 (permanent) 1kN/m² plus own weightLF2 (medium) 2.5kN/m² 3 layersS1 35mm C24S2 20mm C24S3 35mm C24Information regarding the correction factors and stiffness can be found in the attached file. Fire protection factors: Combustion rate ß0=0.65mm/minPyrolysis zone k0d0=7mmCombustion time t=30minEffective thickness def=t ß0+k0d0=30min x 0.65mm/min+7mm=26.5mmResidual thickness layer 3= 35-26.5=8.5mm> 3mm => Thickness can be set. Due to the changed layer thicknesses, a new stiffness matrix results, which is used in RFEM for the extraordinary combinations with characteristic stiffness values. Design values are used for the ultimate limit state."
"After dividing a column with intermediate nodes, I get different results than before in the add-on module RF-/CONCRETE Columns. What can be the reason?","The reason for the different results is probably due to the buckling length settings for the stability check. According to the default setting, these are automatically determined in the add-on module RF-/CONCRETE Columns. However, this procedure does not work for separate members and no stability analysis is carried out (a corresponding warning message appears). If the buckling lengths were entered manually, this only applies to the individual member. In order to be able to carry out a correct stability analysis for the column as a whole component, it must be defined as a set of members. "
"Is it possible with RF-LAMINATE to carry out a detailed analysis of connections, supports or reinforcements of cross laminated timber panels?","In principle, detailed analyzes can also be carried out with RF-LAMINATE. For example, if the shear distortion is very high, it can make sense to carry out the modeling using orthotropic volumes. The video shows the simple modeling and evaluation of the results of a layer structure using volume.One criterion for when modeling using volume makes sense is the shear correction factor. Further information on this and other criteria can be found in the following FAQs:Thrust correction factorNetworkShear distortion"
How can I account for the compliance of a continuous beam with slotted dowel connections?,"The easiest way to take this into account is to use the RF-/JOINTS Timber Steel to Timber module. To do this, the module dissolves the original connection and creates a new static system that takes account of the resilience accordingly. The consideration is made separately for load capacity, serviceability and exceptional. "
"I have set a variable load profile for a generated load. This should be applied step by step in a certain direction. However, the load is not stepped, but displayed with a linear progression. How can the load be represented correctly?","In order for the load to be displayed correctly, some adjustments are required. In the case of a load applied in stages, the area load level may only be demarcated in sections (per load stage). Otherwise the load is distributed linearly over the entire area load plane."
Why does the section force table for some members give intermediate results exactly at the member end nodes?,"The output of the intermediate values is generally linked to the member division property. In addition, member loads defined in sections in RFEM generate additional intermediate results. For example, if the member load defined in sections runs from the beginning of the member to the end of the member, intermediate results are obtained at the member end nodes. "
Where can I set the Poisson's ratio?,The Poisson's ratio is set in the material via Edit material.
There is a display option for the internal force VL when displaying the result curves on the member (type 'rib'). What is this value and how is it calculated?,"The force VL represents a longitudinal shear force between the top surface and the bar. It is calculated as an integrated shear flow between the plate and the bar at a given point on the bar. For the simplified example in the appendix, the cross-section values are as follows with an integration width of 10 cm: $I_y=\ frac{b\times h^3}{12}=\frac{10 cm\times20 cm^3}{12}=6666.67 cm^4$$S_y=h_1\times b\ times((h-e_z)-\frac{h_2}2)=10 cm\times10 cm\times((20 cm-10 cm)-\frac{10 cm}2)=500 cm^3$ $\tau=V_L=\frac{V_z\times S_y}{I_y\times b}=\frac{5.53 kN\times500 cm^3}{6666.67 cm^4}=0.415 kN/cm =41.5 kN/m$The integration width was set to a total of 10 cm. Values :Iy Area moment of inertiaSy Static momenth1 Height of upper cross-sectionh2 Height of lower cross-sectionez Center of gravity h total heightThe values can be adjusted for a T-beam."
What does CS271)... or ST320)... or how can I establish the connection to the standard?,"The Check by formula column lists the equations of the standard with which the checks were carried out. The abbreviations stand for the following checks: CS Cross-section checkST Stability analysisSE Serviceability The numbers directly behind are internal information. In the lower table of the intermediate values, the calculation formulas with the Check conditions that are relevant for the selected check are output."
"When trying to perform a calculation, I get the message ""The path to the RWIND Simulation working directory cannot contain non-ASCII characters"". What can I do?","The working directory is a local path where the data of the currently open structure is temporarily handled and stored. This is created with the first letters of the file. Only ASCII characters may be used. Non-ASCII characters are, for example, ""ä"", ""ö"" and ""ß"". To avoid the problem, special characters in the file name should be replaced by ASCII characters, e.g. B. ""ae"" and ""ss"" instead of ""ä"" and ""ß"". After reopening the file, the message will no longer appear."
"How can you calculate only very specific load cases, load combinations or result combinations using a command with the COM interface?","To calculate only certain load cases, load combinations or result combinations, just like the ""To calculate..."" command, the CalculateBatch method of the ICalculation interface can be used. When passed, the method expects a field with the load of type Loading. Loading contains the number of the load and the type (e.g. load combination):Sub batch_test() ' get interface from the opened model and lock the license/program Dim iModel As RFEM5.IModel3 Set iModel = GetObject(, ""RFEM5.Model"") iModel.GetApplication.LockLicense On Error GoTo e ' get interface for calculation Dim iCalc As ICalculation2 Set iCalc = iModel.GetCalculation ' create array with loading types Dim loadings(3) As Loading loadings(0).no = 1 loadings(0).Type = LoadCaseType loadings(1).no = 4 loadings(1).Type = LoadCaseType loadings(2).no = 4 loadings(2).Type = LoadCombinationType ' calculate all loadings from the array at once iCalc.CalculateBatch loadings e: If Err.Number <> 0 Then MsgBox Err.description, , Err.Source Set iModelData = Nothing iModel.GetApplication.UnlockLicense Set iModel = Nothing End Sub"
Where can you highlight the locations with the maximum and minimum surface pressures on the model in RWIND Simulation?,"The program provides the ""Min/Max Values"" option under the ""Scalar Fields"" branch in the display navigator. With activation of this option the program shows for the result types Area pressure Pressure field Velocity field in the graphic, a result bubble at the point with the smallest and with the largest globally occurring result. "
"In RWIND Simulation I want to rotate the model, adjust the wind tunnel and then rotate the model again. How can I prevent the model's pivot point from being changed?","In RWIND Simulation you can adjust the model position and the model rotation manually. To do this, simply select Model → Edit in the navigator and then select the desired rotation angle in the Position tab. Here, the rotation is performed without changing a translation."
How can I set as quickly as possible that the load combinations generated by the program after e.g. B. First order theory should be calculated?,"In the ""Load cases and combinations"" mask, in the ""Combination rules"" tab at the bottom right, you can specify which calculation type should be used as a basis for the generated load combinations. The linear calculation according to the 1st order is preset for load cases, and the nonlinear calculation according to the 2nd order theory is preset for load combinations Theory I., II. or III. order is calculated. With the option Breakdown problem, the stability analysis according to Theory III. order with regard to the puncture failure of the entire structure. If the model contains cable rods, the calculation according to III. Fixed order."
"When I start FE-BUCKLING as an independent program or as an add-on module within RFEM/RSTAB, the field ""from RFEM"" or ""from RSTAB"" remains grayed out.","If the add-on module FE-BUCKLING is not opened as a stand-alone variant, but via RSTAB or RFEM, the buckling panels (c/t parts of a member cross-section) and the respective load cases in FE-BUCKLING of the RSTAB or RFEM model. If no suitable cross-sections of FE-BUCKLING are found in the RFEM/RSTAB model file, the field for accepting the buckling panels remains inactive."
Problems arise when generating the FE mesh of an ETFE cushion. I can not find the error. What can I do?,"Most of the time, the problem is that the finite elements of the top surfaces are very close to each other at the edge of the pillow when Bezier surfaces are used. The FE mesh nodes of the bottom and top surfaces may then be merged. There are basically two approaches here: 1. Fix the problem numerically: You can adjust the tolerance for FE mesh node merging via the Tools menu → Regenerate Model. 2. Solving the problem geometrically: The more practical solution is to increase the distance between faces with edge faces"
How to create a comment via the COM interface?,"comment is created via the COM interface (RS-COM or RF-COM) via the interface of the helper objects IGuideObjects. Below is an example program that sets a comment: Sub test_comment() ' get interface from the opened model and lock the license/program Dim iModel As RFEM5.IModel3 Set iModel = GetObject(, ""RFEM5.Model"") iModel.GetApplication.LockLicense On Error GoTo e Dim iModelData As RFEM5.IModelData2 Set iModelData = iModel.GetModelData Dim iGuiObj As RFEM5.IGuideObjects Set iGuiObj = iModel.GetGuideObjects Dim comm As RFEM5.Comment ' set frame type comm.Frame = CircularFrameType ' set reference object type comm.ObjectType = GeneralObjectType comm.ObjectNo = 1 ' set point if GeneralObjectType is chosen comm.Point.X = 2 comm.Point.Y = 4 comm.Point.Z = 6 ' set offset from reference object comm.Offset.X = 0.5 comm.Offset.Y = 1 comm.Offset.Z = 1.5 comm.Rotation = 1 ' set text of comment comm.Text = ""testcomment"" ' transfer object to program iGuiObj.PrepareModification iGuiObj.SetComment comm iGuiObj.FinishModification e: If Err.Number <> 0 Then MsgBox Err.description, , Err.Source Set iModelData = Nothing iModel.GetApplication.UnlockLicense Set iModel = Nothing End Sub The selection the reference, or the element to which the comment is attached, is initially defined via the type (ObjectType). Here z. B. a bar, a node or any point in space can be selected. Next, the number of the reference object is specified via ObjectNo (e.g. bar 1). If a free point was selected, this is set using Point.Finally, an offset can be specified, which is specified from the reference object."
I am designing a mixed structure of wood materials with different creep properties. How can the design be carried out with regard to the serviceability according to EN 1995-1-1?,"The simplified designs from [1] Chapter 2.2.3 have been implemented in RFEM and RSTAB for the automatic load combinatorics. This means that, strictly speaking, only structures in which materials with identical creep behavior occur can be analyzed with regard to the final deformation, since the creep deformations are taken into account in a simplified manner on the load side. If the structure is a mixed structure made of wood with different creep properties or in combination with steel, the end deformations must be calculated according to [2] change to 2.2.3 as be determined as follows:""(4) If a structure consists of parts or components with different creep properties, the long-term deformations due to the quasi-permanent combination of actions should be calculated with the final values of the mean values of the corresponding elasticity , shear and displacement moduli can be calculated according to 2.3.2.2(1). The final deformation ufin is then calculated by superimposing the initial deformation due to the difference between the characteristic and the quasi-permanent combinations of actions with the long-term deformation.""However, this sets an overlay of results from different load combinations, which cannot be implemented automatically in RFEM and RSTAB. If the different creep properties are to be taken into account, the load combinatorics must be created manually and the stiffness reduced according to the creep coefficient. The procedure is shown using the example of a wood-concrete composite floor, which was presented at the 2017 Info Day. The link for this can be found below this FAQ."
get error message no. 30195 in RF-FOUNDATION Pro. What can I do?,The error message tells you that no way was found to define the required reinforcement for the meshes and reinforcing bars you selected. After pressing OK you are automatically taken to mask 1.3. Please select further meshes and/or reinforcing bars here and then carry out the design again.
"Does it make a difference if I model a coplanar beam as a ""rib"" or as a ""result beam""?","Yes, this has an impact on the stiffness of the overall system.If you enter a coplanar beam as ""rib"", add the stiffness of the defined rectangular cross-section in the line area. On the other hand, you only define the integration width for the result member. The entered rectangular cross-section has no influence on the stiffness of the entire system, but is only applied as a design cross-section in the add-on modules (e.g. RF-CONCRETE Members)."
I want to model a threaded rod as a 3D solid in RFEM. Is this possible?,"A thread cannot be created in the program using a function. Here you have to generate this geometrically using nodes and lines. In the program there is the option to create the windings using trajectory surfaces. However, you have the option of using copying and rotating to achieve your goal fairly quickly."
get undesignability in RF-CONCRETE surfaces with the information that the shear resistance cannot be verified (cross-section completely cracked). What is the background to this message?,"The non-designability is then output if the shear force resistance without shear force reinforcement VRd,c is calculated less than zero. A value for VRd,c less than zero is caused by large tensile normal forces. In this context, the cross-section is completely under tension or is completely cracked and no shear force resistance can be built up. The following situation arises for covered cross-sections with planned shear force reinforcement: In RF-CONCRETE surfaces, if VRd,c < 0, no further shear force analysis is performed and message 13) is output. This approach is conservative. There was a request (194) for the interpretation of the standard, which allows the use of the truss model even with a completely cracked cross-section. If a shear force reinforcement is planned, the message about non-designability in the program can be ignored. In this case it should be ensured that VEd is smaller than VRd,max and VRd,s."
"When opening an RSTAB 8 file including scissor hinges in RFEM 5, I get an error message stating that the scissor hinges could not be imported correctly. What can be the reason?","Please check the definition of the scissor hinges in the RSTAB 8 file.So that the function of the scissor hinge can be properly considered, the ends of the two members that ""touch"" at a node must , the scissors joint of the same type must be specified. If this is not the case, you will receive the error message described. If this error message was displayed when you opened an RSTAB 8 file in RFEM 5, it may be lead to problems in the calculation, e.g. B. to the effect that the structure becomes unstable due to an incorrect release definition (already in RSTAB 8).The problem should therefore be adjusted either in the RSTAB 8 file or in the RFEM model after the import."
Can the isosurface display also be displayed in one color or transparently?,"In order to display the isosurface representation of the results in one color, the color scale must be edited. To do this, simply double-click on the color scale or edit the color scale with the right mouse button. The slider can then be pushed down so far that only one color remains. You can change the color by double-clicking on it. The maximum value can then be entered manually in the penultimate input field. If a colorless display is desired, a very small number must be defined for the penultimate value. It is also advisable to activate the ""Outlines of deformed surfaces"" option."
Can I also connect a rib bar to two surfaces with different thicknesses? And where can I check the cross-section properties of this composite cross-section? In RFEM I only see the eccentric rectangular cross-section and its cross-section properties.,"You can connect a ribbed member to a line on two surfaces with different thicknesses.To determine the stiffness or internal forces, in RFEM the eccentricity for the rectangular cross-section is calculated using the mean value of the two connected surfaces determined. For the design in RF-CONCRETE Members, the add-on module determines a separate cross-section, which is displayed in the add-on module in the ""1.4 Ribs"" input dialog. By clicking on the ""i"" button, an info dialog for the generated rib cross-section can be opened, in which all cross-section values, the position of the Shear center and center of gravity, etc., which are applied for the design in the module. If the ""effective width"" in dialog ""1.4 Ribs"" (e.g. to 0.50 m), this affects the cross-section applied in RF-CONCRETE Members and its cross-section properties. However, this has no influence on the stiffness or the determination of internal forces in the 3D model in RFEM."
How can you influence in RF-LOAD-HISTORY whether the deformations of the individual load levels are either determined separately in each load level or whether they are added?,"This setting can be made in the RF-LOAD-HISTORY add-on module under ""Details"" → ""Options"" → ""Deformation type"".The deformation type ""In specific load level"" shows the deformations of each shows each load level separately, the deformation type ""On non-deformed structure"" shows the sum of all load levels."
Is it possible to create a table of contents in the printout report?,"In the global selection, the chapters that should appear in the printout report can be selected. This function is accessed via the ""Edit"" → ""Selection"" menu. The four check boxes in the ""Show from"" section on the bottom left control whether a Cover sheet, a table of contents, small info images and large headlines should be displayed in the margin of the log."
Can line approvals be copied?,"Yes, that is possible. Simply select the structure to be copied. Make sure that the line releases and all released objects are also selected. Now you can create a copy with the ""Move and Copy"" function."
Are there facade surfaces in RFEM for transferring the wind loads to the primary structure?,"In RFEM there are no special facade surfaces for the distribution of wind loads. However, such a load distribution element without influencing the load-bearing capacity of the primary structure can be generated using the standard RFEM tools. To do this, proceed as follows: Define an isotropically linearly elastic ""Facade Material"" with the average stiffness of the adjacent primary structural elements without specific weight, thermal expansion property and stiffness modification. In the facade areas, describe surfaces made of the facade material with the stiffness type ""Orthotrop "". The thickness and torsional stiffness should be defined as zero so that no opposing load is transferred to the primary structure at the surface corners. We recommend using the average thickness of the adjacent primary structural elements / 1000 as the thickness and dividing the related torsional stiffness k33 by a factor of 1000. Define a line release between the facade surfaces and the primary structural elements so that only forces perpendicular to the primary structural elements can be transferred. All other directions are to be specified force-free. So that the surfaces released with the line releases do not slip in the wall plane, the facade surfaces to place a surface support in the plane degrees of freedom x and y. With this option, you can distribute pressure loads acting perpendicular to the facade surfaces and wind pressures from the RWIND simulation calculation to the primary structure. It should be noted that this facade surface modeling must be used in conjunction with a linear calculation theory. "
How can I set the printout report so that only the internal forces of the load combinations and not the load cases are output?,The result data can be prepared using the Targeted selection field. Here it is possible to limit the printout report to the results of specific load cases or load combinations.
Can you design bar groups with the EC3 module?,Groups of bars cannot be designed in STEEL EC3. A continuous member can only be created and selected for the design for continuously connected members.
"After the activated softlock license, student license or trial version has worked for a few days, it can no longer be started due to a license problem. On some computers, the message ""Virtual machine detected"" appears.What could be the cause?","If a real computer with the Windows operating system is actually used and no hardware changes and/or new installation of the operating system have been made, the license problem is usually caused by the following points: The mandatory service ""Sentinel LDK License Manager"" may be corrupted after a Windows update. Solution: Reinstall the driver. This can be downloaded and installed via the following link. http://download.dlubal.com/?file=Sentinel_LDK_GUI_setup.zip The antivirus program blocks the file hasplms.exe. Solution: Add the hasplms.exe from the antivirus program exceptions directory Other security software (e.g. Sandboxie) is preventing the license service from communicating properly.Solution: Either also add the hasplms.exe to the trusted programs or uninstall this software"
Can haunch bars or trapezoidal buckling panels be verified with the additional module FE-BUCKLING?,"Only rectangular buckling fields can be calculated with the additional module FE-BUCKLING. The input of the buckling field is done via the 1.1 of the additional module. Alternatively, the buckling panel can also be created from an existing RFEM or RSTAB file by picking the respective c/t part."
A4 is not preset as the page size in the printout report. What can be the reason?,"The presettings of the printout report are based on the default printer stored in Windows. When creating a new printout report, the preset paper size of the standard printer is used. If a paper size smaller than A4 is set for the standard printer, texts are displayed overlapping with the preset font size In the current log, the page size can be adjusted using the ""Set printer..."" option under ""File"" One way to change the default setting in general is to change the properties of the default printer or to select a different printer as the default printer."
From which RFEM or RSTAB version can models be exported to RWIND Simulation?,"The ""Simulate and generate wind loads"" function for exporting models to RWIND Simulation is available in RFEM and RSTAB as of version x.21.01 from October 22, 2019. With a valid service contract you can download the current program version from your Dlubal account. Simply log in here: https:// www.dlubal.com/de/extranet/login If you do not have a service contract, you can load the program version you have purchased on the following page: https:/ /www.dlubal.com/de/support-und-schulungen/service/older-program-versions"
"Is it possible to use the RF/-STEEL AISC module alone and specify the internal forces, for example from another calculation or program?",This is not possible. The design module can only be used with the internal forces from RSTAB or RFEM. 
"Is it possible to use the RF/-STEEL EC3 module alone and specify the internal forces, for example from another calculation or program?",This is not possible. The design module can only be used with the internal forces from RSTAB or RFEM.
"When entering surface loads, you can enter a correction factor to take into account the effect of throughput. For the outer members or supports of a continuous beam, the factor 0.8 is entered in the model, which I took over from a colleague. Shouldn't the factor for an outfield be 0.4?","In the example below, the loads are distributed linearly depending on the distance between the bars, without taking into account the respective throughput effect. Correction factors are used to take these into account. To assign the load correction factors to the members, select the members on which the load is to be corrected. For the edge members, the load correction factor is 0.8, since the loading of the members is internal to the program is automatically halved at the edge (with the same spans). Force values according to the table for a continuous beam with five spans: A = 0.395 B = 1.132 0.395 / 0.5 = 0.8 --> If you were to calculate with a factor of 0.4, the load would be wrong. The bars in field 1 are corrected to 1.1. After pressing [OK], the load will be adjusted automatically."
